JB;KL;08:30;13:15;JBB1111;45.00;2025-04-20;24
JB;KL;13:00;17:10;JJB1112;50.00;2025-04-20;20
KL;JB;13:45;18:25;KKL2221;48.00;2025-04-20;24
MELAKA;KEDAH;08:00;14:20;MML3331;40.00;2025-04-20;28
KEDAH;MELAKA;17:00;23:20;PNG4441;42.00;2025-04-20;20
IPOH;KELANTAN;12:15;16:25;IPH5551;25.00;2025-04-20;20
KELANTAN;IPOH;18:45;21:30;KLT6661;28.00;2025-04-20;24
JB;KL;08:30;13:15;JBB1113;45.00;2025-04-21;24
JB;KL;13:00;17:10;JJB1114;50.00;2025-04-21;20
KL;JB;13:45;18:25;KKL2222;48.00;2025-04-21;24
MELAKA;KEDAH;08:00;14:20;MML3332;40.00;2025-04-21;28
KEDAH;MELAKA;17:00;23:20;PNG4442;42.00;2025-04-21;20
IPOH;KELANTAN;12:15;16:25;IPH5552;25.00;2025-04-21;20
KELANTAN;IPOH;18:45;21:30;KLT6662;28.00;2025-04-21;24
JB;KL;08:30;13:15;JBB1115;45.00;2025-04-22;24
JB;KL;13:00;17:10;JJB1116;50.00;2025-04-22;20
KL;JB;13:45;18:25;KKL2223;48.00;2025-04-22;24
MELAKA;KEDAH;08:00;14:20;MML3333;40.00;2025-04-22;28
KEDAH;MELAKA;17:00;23:20;PNG4443;42.00;2025-04-22;20
IPOH;KELANTAN;12:15;16:25;IPH5553;25.00;2025-04-22;20
KELANTAN;IPOH;18:45;21:30;KLT6663;28.00;2025-04-22;24
